(Child) ASIN,Title,SKU,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00BYCYZPE,P&J Trading Fragrance Oil for Diffusers for Home - Jasmine 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10JAS,32,37,0.9714,13,1,64.77,4.89,13,1
B00BYCZ17K,P&J Trading Fragrance Oil for Diffusers for Home - Lavender 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10LAV,43,52,1,14,0,69.86,0,14,0
B00BYCZ2B0,P&J Trading Fragrance Oil for Diffusers for Home - Lilac 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10LIL,45,56,0.9444,6,0,29.94,0,6,0
B00BYCZ53U,P&J Trading Fragrance Oil for Diffusers for Home - Patchouli 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PAT,29,35,1,8,0,39.92,0,8,0
B00BYCZ8GO,P&J Trading Fragrance Oil for Diffusers for Home - Pear 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PEA,41,53,1,9,0,44.91,0,9,0
B00BYCZ9JK,P&J Trading Fragrance Oil for Diffusers for Home - Rose 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10ROS,130,151,0.9795,22,1,109.68,4.89,22,1
B00BYCZAOO,"P&J Fragrance Oil - Sandalwood 10ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR10SAN,77,96,0.9518,28,1,139.62,4.89,27,1
B00BYCZBFW,P&J Trading Fragrance Oil for Diffusers for Home - Vanilla 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10VAN,105,126,0.9732,29,0,144.71,0,29,0
B00BYCZD2I,P&J Trading Fragrance Oil for Diffusers for Home - Freesia 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10FRE,46,57,1,3,0,14.97,0,3,0
B00BYD3AMM,P&J Trading Fragrance Oil for Diffusers for Home - Violet 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10VIO,31,38,1,2,0,9.98,0,2,0
B00BYD3BRQ,P&J Trading Fragrance Oil for Diffusers for Home - Bubble Gum 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10BUG,48,64,0.8889,12,1,59.78,4.89,12,1
B00BYD3DVA,P&J Trading Fragrance Oil for Diffusers for Home - Mango 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10MAN,23,27,0.9231,2,0,9.98,0,2,0
B00BYD3FHW,P&J Trading Fragrance Oil for Diffusers for Home - Brown Sugar 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10BRS,36,41,0.9737,12,0,59.88,0,12,0
B00BYD3GIU,P&J Trading Fragrance Oil for Diffusers for Home - Rain 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10RAI,125,153,0.9927,25,0,124.75,0,24,0
B00BYD3HGG,P&J Trading Fragrance Oil for Diffusers for Home - Snickerdoodle 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10SNI,23,31,1,8,0,39.92,0,8,0
B00BYD3IL0,P&J Trading Fragrance Oil for Diffusers for Home - Awapuhi & Seaberry 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10AWS,47,51,0.9796,1,0,4.99,0,1,0
B00BYD3JM8,P&J Trading Fragrance Oil for Diffusers for Home - Ambrosia 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10AMB,19,23,0.9565,4,0,19.96,0,4,0
B00BYD3O46,P&J Trading Fragrance Oil for Diffusers for Home - Sweet Pea 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10SWP,14,17,1,3,0,14.97,0,2,0
B00BYD3OXC,P&J Trading Fragrance Oil for Diffusers for Home - Strawberry 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10STR,55,72,1,10,2,49.7,9.78,10,2
B00BYD3Q08,P&J Trading Fragrance Oil for Diffusers for Home - Plumeria 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PLU,29,35,1,7,0,34.93,0,7,0
B00BYD3RI4,P&J Trading Fragrance Oil for Diffusers for Home - Fresh Cotton 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10FRC,25,33,1,8,0,39.92,0,8,0
B00BYD3SFG,P&J Trading Fragrance Oil for Diffusers for Home - Peach 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PEC,52,73,0.2794,2,0,9.98,0,2,0
B00BYD3TYG,P&J Trading Fragrance Oil for Diffusers for Home - Pineapple 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PIN,44,62,0.9474,7,0,34.93,0,7,0
B00BYD3UWM,P&J Trading Fragrance Oil for Diffusers for Home - Orange 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10ORA,26,29,1,5,0,24.95,0,5,0
B00BYD3WUM,P&J Trading Fragrance Oil for Diffusers for Home - Forest Pine 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10FOP,39,57,0.9787,8,0,39.92,0,8,0
B00C932DU6,"P&J Fragrance Oil Favorites Set | Fresh Cotton, Amber, Leather, Strawberry Shortcake, Lilac, Vanilla for Candle Making, Soap Making Supplies, Diffuser Oils Scents",FR10FAVFBA,2389,2781,0.9989,80,3,1304.97,47.74,79,3
B00C9358NU,"P&J Trading Fragrance Oil Floral Set | Violet, Jasmine, Rose, Lilac, Freesia, and Gardenia Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR10FLSFBA,2447,3243,0.9974,243,14,4366.19,251.86,237,10
B00CAE77OG,"P&J Fragrance Oil Autumn Set | Brown Sugar, Apple, Harvest Spice, Vanilla, Forest Pine, and Snickerdoodle Candle Scents for Candle Making, Freshie, Soap Making Supplies, Diffuser Oil Scents",FR10AUS,2974,3570,0.9977,1,1,17.63,17.63,1,1
B00CAE77OG,"P&J Fragrance Oil Autumn Set | Brown Sugar, Apple, Harvest Spice, Vanilla, Forest Pine, and Snickerdoodle Candle Scents for Candle Making, Freshie, Soap Making Supplies, Diffuser Oil Scents",FR10AUSFBA,2974,3570,0.9977,135,18,2317.43,312.24,125,8
B00CAEKNWE,"P&J Trading Fragrance Oil Fruit Set | Orange, Mango, Apple, Blueberry, Banana, and Pear Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR10FRSFBA,1558,1897,0.9973,73,3,1219.19,47.74,73,3
B00CAEXO2A,"P&J Fragrance Oil Nature Set | Forest Pine, Ocean Breeze, Rain, Fresh Cut Grass, Sandalwood, and Bamboo Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil",FR10NAS,3089,4284,0.9909,272,16,4875.29,287.84,268,15
B00CAF382A,"P&J Trading Fragrance Oils for Diffusers for Home Spring Set Fragrance Scents for Candle Making - Soap Making - Car Diffuser Scents - Essential Home Gift Set - Cherry Blossom, Fresh Cut Grass & More",FR10SPSFBA,2079,2416,0.9975,106,2,1747.91,31.09,104,2
